Filename;DIVYA.csv
Start Date;2009 01 01 / 03:52:56
Stop Date;2009 01 01 / 04:13:24
Serial Number;1551019J010
Identifier;id210

Setup;
Detector Mode;Internal Gating
Efficiency;10;%
Gate Width;5.00;ns
Trigger Delay;0.00;ns
Dead Time;2.50;us
Frequency;500000;Hz

Counting mode;Frequency
Integration time;0.2;s

Period;Detection;Detection Standard Deviation;Detection Min;Detection Max;Auxiliary1;Auxiliary1 Standard Deviation;Auxiliary1 Min;Auxiliary1 Max;Auxiliary2;Auxiliary2 Standard Deviation;Auxiliary2 Min;Auxiliary2 Max;Auxiliary1&2;Auxiliary1&2 Standard Deviation;Auxiliary1&2 Min;Auxiliary1&2 Max;Gate;Gate Standard Deviation;Gate Min;Gate Max;Clock;Clock Standard Deviation;Clock Min;Clock Max
1;2635;0;2635;2635;0;0;0;0;0;0;0;0;0;0;0;0;497365;0;497365;497365;500000;0;500000;500000
2;2295;0;2295;2295;0;0;0;0;0;0;0;0;0;0;0;0;497710;0;497710;497710;500000;0;500000;500000
3;2540;0;2540;2540;0;0;0;0;0;0;0;0;0;0;0;0;497455;0;497455;497455;500000;0;500000;500000
4;2605;0;2605;2605;0;0;0;0;0;0;0;0;0;0;0;0;497395;0;497395;497395;500000;0;500000;500000
5;2460;0;2460;2460;0;0;0;0;0;0;0;0;0;0;0;0;497540;0;497540;497540;500000;0;500000;500000
6;2595;0;2595;2595;0;0;0;0;0;0;0;0;0;0;0;0;497405;0;497405;497405;500000;0;500000;500000
7;2430;0;2430;2430;0;0;0;0;0;0;0;0;0;0;0;0;497570;0;497570;497570;500000;0;500000;500000
8;2540;0;2540;2540;0;0;0;0;0;0;0;0;0;0;0;0;497460;0;497460;497460;500000;0;500000;500000
9;2540;0;2540;2540;0;0;0;0;0;0;0;0;0;0;0;0;497460;0;497460;497460;500000;0;500000;500000
10;2545;0;2545;2545;0;0;0;0;0;0;0;0;0;0;0;0;497455;0;497455;497455;500000;0;500000;500000
11;2370;0;2370;2370;0;0;0;0;0;0;0;0;0;0;0;0;497630;0;497630;497630;500000;0;500000;500000
12;2565;0;2565;2565;0;0;0;0;0;0;0;0;0;0;0;0;497435;0;497435;497435;500000;0;500000;500000
13;2295;0;2295;2295;0;0;0;0;0;0;0;0;0;0;0;0;497705;0;497705;497705;500000;0;500000;500000
14;2400;0;2400;2400;0;0;0;0;0;0;0;0;0;0;0;0;497600;0;497600;497600;500000;0;500000;500000
15;2535;0;2535;2535;0;0;0;0;0;0;0;0;0;0;0;0;497465;0;497465;497465;500000;0;500000;500000
16;2265;0;2265;2265;0;0;0;0;0;0;0;0;0;0;0;0;497735;0;497735;497735;500000;0;500000;500000
17;2440;0;2440;2440;0;0;0;0;0;0;0;0;0;0;0;0;497560;0;497560;497560;500000;0;500000;500000
18;2400;0;2400;2400;0;0;0;0;0;0;0;0;0;0;0;0;497600;0;497600;497600;500000;0;500000;500000
19;2580;0;2580;2580;0;0;0;0;0;0;0;0;0;0;0;0;497420;0;497420;497420;500000;0;500000;500000
20;2645;0;2645;2645;0;0;0;0;0;0;0;0;0;0;0;0;497355;0;497355;497355;500000;0;500000;500000
21;2265;0;2265;2265;0;0;0;0;0;0;0;0;0;0;0;0;497735;0;497735;497735;500000;0;500000;500000
22;2555;0;2555;2555;0;0;0;0;0;0;0;0;0;0;0;0;497445;0;497445;497445;500000;0;500000;500000
23;2645;0;2645;2645;0;0;0;0;0;0;0;0;0;0;0;0;497355;0;497355;497355;500000;0;500000;500000
24;2500;0;2500;2500;0;0;0;0;0;0;0;0;0;0;0;0;497500;0;497500;497500;500000;0;500000;500000
25;2590;0;2590;2590;0;0;0;0;0;0;0;0;0;0;0;0;497410;0;497410;497410;500000;0;500000;500000
26;2390;0;2390;2390;0;0;0;0;0;0;0;0;0;0;0;0;497610;0;497610;497610;500000;0;500000;500000
27;2490;0;2490;2490;0;0;0;0;0;0;0;0;0;0;0;0;497510;0;497510;497510;500000;0;500000;500000
28;2490;0;2490;2490;0;0;0;0;0;0;0;0;0;0;0;0;497510;0;497510;497510;500000;0;500000;500000
29;2430;0;2430;2430;0;0;0;0;0;0;0;0;0;0;0;0;497570;0;497570;497570;500000;0;500000;500000
30;2615;0;2615;2615;0;0;0;0;0;0;0;0;0;0;0;0;497385;0;497385;497385;500000;0;500000;500000
31;2725;0;2725;2725;0;0;0;0;0;0;0;0;0;0;0;0;497275;0;497275;497275;500000;0;500000;500000
32;2640;0;2640;2640;0;0;0;0;0;0;0;0;0;0;0;0;497360;0;497360;497360;500000;0;500000;500000
33;2460;0;2460;2460;0;0;0;0;0;0;0;0;0;0;0;0;497540;0;497540;497540;500000;0;500000;500000
34;2635;0;2635;2635;0;0;0;0;0;0;0;0;0;0;0;0;497365;0;497365;497365;500000;0;500000;500000
35;2500;0;2500;2500;0;0;0;0;0;0;0;0;0;0;0;0;497500;0;497500;497500;500000;0;500000;500000
36;2715;0;2715;2715;0;0;0;0;0;0;0;0;0;0;0;0;497285;0;497285;497285;500000;0;500000;500000
37;2500;0;2500;2500;0;0;0;0;0;0;0;0;0;0;0;0;497500;0;497500;497500;500000;0;500000;500000
38;2490;0;2490;2490;0;0;0;0;0;0;0;0;0;0;0;0;497510;0;497510;497510;500000;0;500000;500000
39;2450;0;2450;2450;0;0;0;0;0;0;0;0;0;0;0;0;497550;0;497550;497550;500000;0;500000;500000
40;2615;0;2615;2615;0;0;0;0;0;0;0;0;0;0;0;0;497385;0;497385;497385;500000;0;500000;500000
41;2535;0;2535;2535;0;0;0;0;0;0;0;0;0;0;0;0;497465;0;497465;497465;500000;0;500000;500000
42;2440;0;2440;2440;0;0;0;0;0;0;0;0;0;0;0;0;497560;0;497560;497560;500000;0;500000;500000
43;2485;0;2485;2485;0;0;0;0;0;0;0;0;0;0;0;0;497515;0;497515;497515;500000;0;500000;500000
44;2600;0;2600;2600;0;0;0;0;0;0;0;0;0;0;0;0;497400;0;497400;497400;500000;0;500000;500000
45;2605;0;2605;2605;0;0;0;0;0;0;0;0;0;0;0;0;497395;0;497395;497395;500000;0;500000;500000
46;2540;0;2540;2540;0;0;0;0;0;0;0;0;0;0;0;0;497460;0;497460;497460;500000;0;500000;500000
47;2565;0;2565;2565;0;0;0;0;0;0;0;0;0;0;0;0;497435;0;497435;497435;500000;0;500000;500000
48;2530;0;2530;2530;0;0;0;0;0;0;0;0;0;0;0;0;497470;0;497470;497470;500000;0;500000;500000
49;2550;0;2550;2550;0;0;0;0;0;0;0;0;0;0;0;0;497450;0;497450;497450;500000;0;500000;500000
50;2525;0;2525;2525;0;0;0;0;0;0;0;0;0;0;0;0;497475;0;497475;497475;500000;0;500000;500000
51;2330;0;2330;2330;0;0;0;0;0;0;0;0;0;0;0;0;497670;0;497670;497670;500000;0;500000;500000
52;2435;0;2435;2435;0;0;0;0;0;0;0;0;0;0;0;0;497565;0;497565;497565;500000;0;500000;500000
53;2675;0;2675;2675;0;0;0;0;0;0;0;0;0;0;0;0;497325;0;497325;497325;500000;0;500000;500000
