Filename;LONG_RUN.csv
Start Date;2009 01 01 / 03:42:13
Stop Date;2009 01 01 / 05:26:01
Serial Number;1551019J010
Identifier;id210

Setup;
Detector Mode;Internal Gating
Efficiency;10;%
Gate Width;5.00;ns
Trigger Delay;0.00;ns
Dead Time;0.10;us
Frequency;10000;Hz

Counting mode;Frequency
Integration time;1.0;s

Period;Detection;Detection Standard Deviation;Detection Min;Detection Max;Auxiliary1;Auxiliary1 Standard Deviation;Auxiliary1 Min;Auxiliary1 Max;Auxiliary2;Auxiliary2 Standard Deviation;Auxiliary2 Min;Auxiliary2 Max;Auxiliary1&2;Auxiliary1&2 Standard Deviation;Auxiliary1&2 Min;Auxiliary1&2 Max;Gate;Gate Standard Deviation;Gate Min;Gate Max;Clock;Clock Standard Deviation;Clock Min;Clock Max
1;37;4;35;45;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
2;41;17.435596;20;70;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
3;49;4.8989795;40;55;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
4;49;11.575837;35;70;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
5;42;12.884099;25;60;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
6;47;5.0990195;40;55;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
7;50;10.954451;35;65;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
8;49;8.6023253;40;65;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
9;56;13.56466;35;75;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
10;40;8.3666003;30;50;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
11;39;8;25;50;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
12;49;12.409674;35;70;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
13;46;7.3484692;35;55;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
14;51;14.96663;25;65;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
15;54;11.575837;40;70;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
16;37;14.3527;15;50;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
17;56;18.275667;35;80;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
18;36;11.575837;20;55;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
19;57;10.77033;45;70;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
20;33;15.033296;15;55;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
21;45;12.247449;25;60;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
22;35;10.488088;25;50;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
23;54;14.628739;30;70;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
24;49;7.3484692;40;60;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
25;47;6.78233;40;55;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
26;48;11.224972;30;60;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
27;37;12.884099;25;60;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;10000;10000;10000;0;10000;10000
