Filename;ARMBV2.csv
Start Date;2025 02 21 / 19:13:44
Stop Date;2025 02 21 / 19:38:11
Serial Number;1551030J010
Identifier;id210

Setup;
Detector Mode;Internal Gating
Efficiency;15;%
Gate Width;6.03;ns
Trigger Delay;0.00;ns
Dead Time;0.10;us
Frequency;200000;Hz

Counting mode;Frequency
Integration time;1.0;s

Period;Detection;Detection Standard Deviation;Detection Min;Detection Max;Auxiliary1;Auxiliary1 Standard Deviation;Auxiliary1 Min;Auxiliary1 Max;Auxiliary2;Auxiliary2 Standard Deviation;Auxiliary2 Min;Auxiliary2 Max;Auxiliary1&2;Auxiliary1&2 Standard Deviation;Auxiliary1&2 Min;Auxiliary1&2 Max;Gate;Gate Standard Deviation;Gate Min;Gate Max;Clock;Clock Standard Deviation;Clock Min;Clock Max
1;192;12.083046;170;205;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
2;188;29.597297;160;245;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
3;160;27.92848;115;185;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
4;180;25.495098;135;205;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
5;172;44.899889;110;230;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
6;200;13.784049;180;220;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
7;179;27.276363;160;230;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
8;184;20.34699;160;215;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
9;166;20.099751;135;195;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
10;191;18.275667;165;215;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
11;171;34.263683;110;210;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
12;194;20.832667;180;235;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
13;177;10.29563;165;190;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
14;169;33.075671;115;210;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
15;187;28.035692;165;240;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
16;191;17.720045;160;215;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
17;179;15.297059;155;200;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
18;180;19.748418;155;215;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
19;179;20.59126;145;195;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
20;155;31.144823;125;215;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
21;174;23.10844;140;200;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
22;224;15.937377;205;250;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
23;199;22.671568;160;225;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
24;175;38.470768;120;230;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
25;180;28.635642;145;205;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
26;196;31.368774;150;235;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
27;173;37.496667;115;215;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
28;187;23.790755;145;215;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
29;180;22.36068;155;220;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
30;166;18.814888;140;190;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
31;170;18.973666;145;200;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
32;169;34.842503;125;225;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
33;175;26.832816;140;220;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
34;185;34.928498;140;240;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
35;170;29.495762;125;205;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
36;166;38.522721;95;205;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
37;166;33.376639;120;215;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
38;204;23.10844;175;235;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
39;160;18.708287;135;190;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
40;165;33.466401;135;215;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
41;174;34.263683;135;220;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
42;179;32.619013;145;235;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
43;178;32.649655;130;225;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
44;176;16.8523;145;195;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
45;143;19.899749;110;160;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
46;171;23.323808;130;200;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
47;174;26.907248;135;205;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
48;171;22.671568;145;200;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
49;168;17.204651;145;190;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
50;165;13.038405;145;180;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
51;192;19.390719;170;220;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
52;177;22.715633;140;200;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
53;184;9.6953597;170;195;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
54;174;14.628739;155;195;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
55;179;37.067506;125;240;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
56;169;35.128336;115;215;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
57;190;16.431677;170;205;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
58;177;11.661904;165;195;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
59;162;46.21688;100;225;0;0;0;0;0;0;0;0;0;0;0;0;200000;0;200000;200000;200000;0;200000;200000
